legacy_source,legacy_id,service_node_id,confidence,note,example_unresolved_reason,example_user_id,example_service_raw,example_cat_id
tag,1897,,1.000,"manual map",service_id_missing_lookup,71079,1897,178
tag,810,,1.000,"manual map",service_id_missing_lookup,72092,810,178
tag,839,,1.000,"manual map",service_id_missing_lookup,72262,839,178
tag,899,,1.000,"manual map",service_id_missing_lookup,72420,899,178
tag,919,,1.000,"manual map",service_id_missing_lookup,72480,919,192
tag,1158,,1.000,"manual map",service_id_missing_lookup,73720,1158,192
tag,1297,,1.000,"manual map",service_id_missing_lookup,74194,1297,178
tag,1373,,1.000,"manual map",service_id_missing_lookup,74456,1373,192
tag,1477,,1.000,"manual map",service_id_missing_lookup,75000,1477,192
tag,1594,,1.000,"manual map",service_id_missing_lookup,76714,1594,192
tag,1625,,1.000,"manual map",service_id_missing_lookup,76831,1625,178
tag,1735,,1.000,"manual map",service_id_missing_lookup,89116,1735,178
tag,1753,,1.000,"manual map",service_id_missing_lookup,89816,1753,178
tag,1762,,1.000,"manual map",service_id_missing_lookup,89998,1762,178
tag,1768,,1.000,"manual map",service_id_missing_lookup,90169,1768,178
tag,1049,,1.000,"manual map",service_id_missing_lookup,90334,1049,178
tag,1797,,1.000,"manual map",service_id_missing_lookup,91029,1797,178
tag,1042,,1.000,"manual map",service_id_missing_lookup,92243,1042,178
tag,1871,,1.000,"manual map",service_id_missing_lookup,93093,1871,178
tag,664,,1.000,"manual map",service_id_missing_lookup,105836,664,178
tag,703,,1.000,"manual map",service_id_missing_lookup,106318,703,192
tag,753,,1.000,"manual map",service_id_missing_lookup,108033,753,192
tag,802,,1.000,"manual map",service_id_missing_lookup,108881,802,178
tag,985,,1.000,"manual map",service_id_missing_lookup,109485,985,178
tag,1185,,1.000,"manual map",service_id_missing_lookup,110341,1185,192
tag,1326,,1.000,"manual map",service_id_missing_lookup,111565,1326,192
tag,778,,1.000,"manual map",service_id_missing_lookup,111640,778,192
tag,1412,,1.000,"manual map",service_id_missing_lookup,111648,1412,178
tag,1478,,1.000,"manual map",service_id_missing_lookup,111873,1478,178
tag,1509,,1.000,"manual map",service_id_missing_lookup,112278,1509,178
tag,1535,,1.000,"manual map",service_id_missing_lookup,112308,1535,192
