id,user_id,field_name,cat_id,service_raw,price,duration_min,reason,source_payload
72,129352,stock_prices,-,-,0.00,0,parse_error,"{""raw"": ""{147:[[500,45.15,19,3000,Я нахожусь в БЕСКОНЕЧНОМ поиске моделей для создания контента фото-видео, сьемка полноценных видео рилс, а так же для наработки скорости! Предлагаю вам качественный маникюр по приемлемым цене.,10]]}\r\n"", ""reason"": ""parse_error""}"
73,134280,stock_prices,-,-,0.00,0,parse_error,"{""raw"": ""{255:[[2990,45.15,408,8000,До конца месяца. Цена закрепляется на весь курс.]]}"", ""reason"": ""parse_error""}"
74,144592,stock_prices,-,-,0.00,0,parse_error,"{""raw"": ""{149:[[3000,\"90.15\",483,4500,Покупка абонемента от 3 посещений в месяц],[3000,\"90.15\",483,4500,Покупка абонемента от 3 посещений в месяц]],158:[[2500,\"60.15\",478,3000,Покупка абонемента. От 3 х посещений в месяц]],159:[[3500,\"120.15\",483,6000,При покупке абонемента на 3 посещения в месяц ]],160:[[3000,\"90.15,483\",5000,При покупке абонемента на 3 посещения в месяц ]],168:[[3500,\"120.15,483\",6000,Покупка абонемента от 3 посещений в месяц]]}"", ""reason"": ""parse_error""}"
1,71079,stock_prices,178,1897,2000.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2000, ""60.15"", 1897, 4000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
2,72092,stock_prices,178,810,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 810, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
3,72262,stock_prices,178,839,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 839, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
4,72420,stock_prices,178,899,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 899, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
5,72480,stock_prices,192,919,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 919, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
6,73720,stock_prices,192,1158,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1158, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
7,74194,stock_prices,178,1297,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1297, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
8,74456,stock_prices,192,1373,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1373, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
9,75000,stock_prices,192,1477,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1477, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
10,76714,stock_prices,192,1594,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1594, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
11,76831,stock_prices,178,1625,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1625, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
37,89116,stock_prices,178,1735,3000.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [3000, ""60.15"", 1735, 6000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
38,89816,stock_prices,178,1753,2250.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2250, ""60.15"", 1753, 4500, """", ""9""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
39,89998,stock_prices,178,1762,2750.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2750, ""60.15"", 1762, 5500, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
40,90169,stock_prices,178,1768,2000.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2000, ""60.15"", 1768, 4000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
41,90334,stock_prices,178,1049,3000.00,120,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [3000, ""120.15"", 1049, 6000, ""Нужны модели на маникюр с покрытием гель лак, для фото и видео🤍 Если тебе нравится идеальная архитектура, четкая форма, тонкие и носибельные ногти, то тебе ко мне. Время 2 часа.Е"", ""9""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
42,91029,stock_prices,178,1797,2000.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2000, ""60.15"", 1797, 4000, """", ""2""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
43,92243,stock_prices,178,1042,2750.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2750, ""60.15"", 1042, 5500, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
44,93093,stock_prices,178,1871,2000.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2000, ""60.15"", 1871, 4000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
45,93940,stock_prices,178,1897,2000.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2000, ""60.15"", 1897, 4000, """", ""4""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
46,105836,stock_prices,178,664,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 664, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
47,106318,stock_prices,192,703,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 703, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
48,108033,stock_prices,192,753,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 753, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
49,108881,stock_prices,178,802,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 802, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
50,109485,stock_prices,178,985,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 985, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
51,110341,stock_prices,192,1185,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1185, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
55,111565,stock_prices,192,1326,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1326, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
56,111640,stock_prices,192,778,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 778, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
57,111648,stock_prices,178,1412,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1412, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
58,111873,stock_prices,178,1478,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1478, 5000, """", ""6""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
59,112278,stock_prices,178,1509,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1509, 5000, """", ""2""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
60,112308,stock_prices,192,1535,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1535, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
61,122924,stock_prices,178,664,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 664, 5000, """", ""4""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
62,122977,stock_prices,192,703,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 703, 1700, """", ""3""], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
63,123119,stock_prices,192,753,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 753, 1700, """"], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
64,123209,stock_prices,178,802,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 802, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
65,123779,stock_prices,178,985,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 985, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
66,124259,stock_prices,192,1185,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1185, 1700, """", ""4""], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
67,124402,stock_prices,192,1326,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1326, 1700, """", ""3""], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
68,124634,stock_prices,178,1412,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1412, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
69,126487,stock_prices,178,1478,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1478, 5000, """"], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
70,128197,stock_prices,178,1509,2500.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [2500, ""60.15"", 1509, 5000, """", ""7""], ""cat_id"": ""178"", ""resolved_reason"": ""service_id_missing_lookup""}"
71,128249,stock_prices,192,1535,850.00,60,service_id_missing_lookup,"{""field"": ""stock_prices"", ""tuple"": [850, ""60.15"", 1535, 1700, """", ""10""], ""cat_id"": ""192"", ""resolved_reason"": ""service_id_missing_lookup""}"
12,82660,stock_prices,276,45.15,682.00,5,service_id_not_numeric,"{""tuple"": [682, 5, ""45.15"", 564, 1365, """"], ""cat_id"": ""276""}"
13,82692,stock_prices,276,45.15,682.00,5,service_id_not_numeric,"{""tuple"": [682, 5, ""45.15"", 564, 1365, """"], ""cat_id"": ""276""}"
14,82710,stock_prices,276,45.15,682.00,5,service_id_not_numeric,"{""tuple"": [682, 5, ""45.15"", 564, 1365, """"], ""cat_id"": ""276""}"
15,82744,stock_prices,276,45.15,682.00,5,service_id_not_numeric,"{""tuple"": [682, 5, ""45.15"", 564, 1365, """"], ""cat_id"": ""276""}"
16,83288,stock_prices,138,45.15,1312.00,5,service_id_not_numeric,"{""tuple"": [1312, 5, ""45.15"", 519, 2625, """"], ""cat_id"": ""138""}"
17,83394,stock_prices,252,30.15,2252.00,5,service_id_not_numeric,"{""tuple"": [2252, 5, ""30.15"", 408, 4505, """"], ""cat_id"": ""252""}"
18,83394,stock_prices,252,30.15,3047.00,5,service_id_not_numeric,"{""tuple"": [3047, 5, ""30.15"", 410, 6095, """"], ""cat_id"": ""252""}"
19,83394,stock_prices,252,30.15,3577.00,5,service_id_not_numeric,"{""tuple"": [3577, 5, ""30.15"", 411, 7155, """"], ""cat_id"": ""252""}"
20,83928,stock_prices,197,45.15,1322.00,5,service_id_not_numeric,"{""tuple"": [1322, 5, ""45.15"", 296, 2645, """"], ""cat_id"": ""197""}"
21,84031,stock_prices,146,45.15,1437.00,5,service_id_not_numeric,"{""tuple"": [1437, 5, ""45.15"", 72, 2875, """"], ""cat_id"": ""146""}"
22,84191,stock_prices,146,45.15,1437.00,5,service_id_not_numeric,"{""tuple"": [1437, 5, ""45.15"", 72, 2875, """"], ""cat_id"": ""146""}"
23,84313,stock_prices,181,60.15,807.00,5,service_id_not_numeric,"{""tuple"": [807, 5, ""60.15"", 81, 1615, """"], ""cat_id"": ""181""}"
24,84343,stock_prices,146,45.15,937.00,5,service_id_not_numeric,"{""tuple"": [937, 5, ""45.15"", 72, 1875, """"], ""cat_id"": ""146""}"
25,84395,stock_prices,108,60.15,292.00,5,service_id_not_numeric,"{""tuple"": [292, 5, ""60.15"", 146, 585, """"], ""cat_id"": ""108""}"
